weight,word
29,covid-19
1,technological innovation
1,systematics
1,education
1,transportation
1,tools
4,unmanned aerial vehicles
2,uav
4,iot
9,machine learning
1,ar
2,ai
1,edge intelligence
1,6g
1,ultra-reliable low-latency
1,internet of drones
1,holographic communication
2,viruses (medical)
3,pandemics
6,artificial intelligence
5,blockchain
1,5g mobile communication
2,coronavirus
7,pandemic
1,transmission stages
1,global economic impact
1,uavs for disaster management
1,iomt applications
3,5g
2,cybersecurity
